URL imagem,Jogador,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,Alexandre Pato,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,15.0,24.0,34.0,34.0,34.0,34.0,39.0,39.0
,Marinho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,14.0,22.0,39.0
https://i.ibb.co/0B2hQkP/Edilson.jpg,Edílson,0.0,13.0,31.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
,Reinaldo,0.0,0.0,8.0,15.0,26.0,27.0,36.0,36.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
,Eduardo Sasha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,10.0,15.0,15.0,16.0,30.0,38.0
,Lúcio Flávio,0.0,6.0,9.0,9.0,10.0,19.0,28.0,33.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
,Diego,0.0,9.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,19.0,29.0,35.0,36.0,37.0
,Rodrigo Tabata,0.0,0.0,12.0,20.0,28.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
,Dario Conca,0.0,0.0,0.0,0.0,0.0,6.0,10.0,17.0,26.0,27.0,27.0,27.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
,Hernán Barcos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,23.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0
,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,15.0,25.0,36.0,36.0
,Ramon Menezes,0.0,0.0,11.0,15.0,21.0,23.0,30.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
https://i.ibb.co/6bdz2rD/Elano.jpg,Elano,0.0,8.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,32.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
,Marcos Aurélio,0.0,0.0,0.0,0.0,10.0,17.0,17.0,24.0,24.0,33.0,33.0,33.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0
,Keirrison,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,29.0,31.0,31.0,32.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
,Douglas,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,9.0,17.0,23.0,24.0,24.0,29.0,33.0,33.0,35.0,35.0,35.0
