Player,1969-1970,1970-1971,1971-1972,1972-1973,1973-1974,1974-1975,1975-1976,1976-1977,1977-1978,1978-1979,1979-1980,1980-1981,1981-1982,1982-1983,1983-1984,1984-1985,1985-1986,1986-1987,1987-1988,1988-1989,1989-1990,1990-1991,1991-1992,1992-1993,1993-1994,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
Bailey Howell,16892,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770,17770
Spencer Haywood,,680.0,2594.0,4845.0,6606.0,8131.0,9680.0,10193.0,11113.0,12534.0,13270.0,13270.0,14279.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0,14592.0
Richie Guerin,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676,14676
Rick Barry,,,,6666.0,8675.0,11125.0,12826.0,14549.0,16447.0,17529.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0,18395.0
Bernard King,,,,,,,,,1909.0,3678.0,3854.0,5625.0,7458.0,8944.0,10971.0,12780.0,12780.0,12916.0,14104.0,15778.0,17615.0,19432.0,19432.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0,19655.0
Kobe Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.0,1759.0,2755.0,4240.0,6178.0,8197.0,10658.0,12215.0,14034.0,16866.0,19296.0,21619.0,23820.0,25790.0,27868.0,29484.0,31617.0,31700.0,32482.0,33643.0,33643.0,33643.0,33643.0,33643.0,33643.0,33643.0,33643.0
Tiny Archibald,,1308.0,3453.0,6172.0,6789.0,8959.0,10894.0,11591.0,11591.0,12351.0,13482.0,14588.0,15446.0,16141.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0,16481.0
Otis Thorpe,,,,,,,,,,,,,,,,1052.0,1794.0,3341.0,5045.0,6415.0,7816.0,9251.0,10671.0,11594.0,12743.0,13680.0,14841.0,15877.0,16629.0,17183.0,17462.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0
Allen Iverson,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787.0,3545.0,4829.0,6818.0,9025.0,10908.0,13170.0,14436.0,16738.0,19115.0,20824.0,22988.0,23983.0,24368.0,24368.0,24368.0,24368.0,24368.0,24368.0,24368.0,24368.0,24368.0,24368.0,24368.0,24368.0,24368.0,24368.0
Vince Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.0,3020.0,5090.0,6574.0,7458.0,9103.0,10989.0,12900.0,14970.0,16592.0,18254.0,19498.0,20520.0,21135.0,22223.0,23190.0,23574.0,23969.0,24555.0,24868.0,25430.0,25728.0,25728.0,25728.0,25728.0
Jerry West,19144,21003,22988,24563,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192,25192
Elgin Baylor,23023,23043,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149,23149
Jerry Lucas,10076,11611,12894,13598,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053,14053
